Date,Open,High,Low,Close
1993-12-31,1.4945,1.4974,1.4335,1.4875
1994-01-31,1.4909,1.4909,1.4535,1.4629
1994-02-28,1.4505,1.4789,1.4245,1.4245
1994-03-31,1.4385,1.44,1.4101,1.4101
1994-04-30,1.4266,1.4561,1.41,1.41
1994-05-31,1.3994,1.4301,1.3994,1.403
1994-06-30,1.4009,1.4165,1.322,1.3316
1994-07-31,1.3355,1.3495,1.2844,1.3439
1994-08-31,1.3314,1.3366,1.289,1.3311
1994-09-30,1.3235,1.3235,1.2714,1.2868
1994-10-31,1.293,1.293,1.245,1.255
1994-11-30,1.2475,1.3275,1.2475,1.326
1994-12-31,1.3311,1.3375,1.3085,1.3095
1995-01-31,1.312,1.3131,1.267,1.2841
1995-02-28,1.2878,1.3013,1.2335,1.2335
1995-03-31,1.2404,1.2404,1.1325,1.1325
1995-04-30,1.1243,1.1601,1.1171,1.1455
1995-05-31,1.144,1.2165,1.124,1.1674
1995-06-30,1.171,1.171,1.145,1.1515
1995-07-31,1.146,1.1663,1.1459,1.1505
1995-08-31,1.1453,1.2298,1.1453,1.2049
1995-09-30,1.201,1.2218,1.1337,1.1559
1995-10-31,1.1507,1.161,1.1265,1.1352
1995-11-30,1.1393,1.175,1.1345,1.175
1995-12-31,1.1736,1.1771,1.1479,1.1531
1996-01-31,1.1568,1.213,1.1568,1.2123
1996-02-29,1.2208,1.2208,1.1725,1.1989
1996-03-31,1.2053,1.2061,1.1893,1.1893
1996-04-30,1.1946,1.2415,1.1917,1.2415
1996-05-31,1.2495,1.2735,1.2325,1.2523
1996-06-30,1.2513,1.268,1.2484,1.25
1996-07-31,1.2495,1.2655,1.1972,1.1972
1996-08-31,1.2003,1.2115,1.1925,1.2005
1996-09-30,1.2075,1.2557,1.2056,1.2552
1996-10-31,1.2535,1.2711,1.2506,1.2627
1996-11-30,1.2697,1.3031,1.2625,1.3031
1996-12-31,1.3142,1.3515,1.3108,1.3386
1997-01-31,1.3433,1.4274,1.3433,1.4214
1997-02-28,1.4184,1.4873,1.4184,1.4744
1997-03-31,1.4793,1.4877,1.4383,1.4383
1997-04-30,1.4416,1.4764,1.433,1.4724
1997-05-31,1.4689,1.475,1.4002,1.4168
1997-06-30,1.4299,1.4612,1.4299,1.4612
1997-07-31,1.4723,1.5182,1.4489,1.514
1997-08-31,1.5242,1.5359,1.4833,1.4885
1997-09-30,1.506,1.506,1.4473,1.4539
1997-10-31,1.4601,1.4888,1.4008,1.4008
1997-11-30,1.4138,1.4256,1.3906,1.4256
1997-12-31,1.4332,1.462,1.4263,1.462
1998-01-31,1.4663,1.4986,1.4437,1.4825
1998-02-28,1.4729,1.4733,1.4434,1.4662
1998-03-31,1.4657,1.5243,1.4657,1.5243
1998-04-30,1.5335,1.5335,1.4824,1.5003
1998-05-31,1.4881,1.4894,1.4641,1.4819
1998-06-30,1.4769,1.5266,1.4671,1.5143
1998-07-31,1.5352,1.5424,1.4863,1.4907
1998-08-31,1.4978,1.5101,1.4415,1.4415
1998-09-30,1.4402,1.444,1.3804,1.3804
1998-10-31,1.3639,1.3639,1.2954,1.3554
1998-11-30,1.3489,1.4125,1.3489,1.3933
1998-12-31,1.3783,1.379,1.3293,1.3735
1999-01-31,1.3663,1.4162,1.3584,1.4153
1999-02-28,1.4232,1.4513,1.4091,1.4487
1999-03-31,1.4629,1.4882,1.4485,1.4766
1999-04-30,1.4815,1.5256,1.4719,1.5256
1999-05-31,1.5244,1.5272,1.4906,1.5272
1999-06-30,1.5226,1.555,1.5186,1.555
1999-07-31,1.5678,1.5828,1.4906,1.4929
1999-08-31,1.4973,1.534,1.4823,1.5127
1999-09-30,1.5132,1.5448,1.4935,1.5025
1999-10-31,1.4866,1.525,1.4585,1.525
1999-11-30,1.5288,1.5876,1.5288,1.5876
1999-12-31,1.5818,1.599,1.5576,1.5902
2000-01-31,1.5794,1.6494,1.5518,1.649
2000-02-29,1.6553,1.6634,1.5956,1.6634
2000-03-31,1.6547,1.6802,1.6234,1.6611
2000-04-30,1.6622,1.7295,1.633,1.724
2000-05-31,1.7078,1.7382,1.6796,1.6816
2000-06-30,1.687,1.687,1.6168,1.6311
2000-07-31,1.6358,1.6778,1.622,1.6652
2000-08-31,1.6789,1.7436,1.6789,1.7436
2000-09-30,1.7231,1.7884,1.7231,1.7252
2000-10-31,1.7345,1.8236,1.7332,1.7981
2000-11-30,1.7782,1.81,1.7388,1.7388
2000-12-31,1.7268,1.7268,1.6312,1.6312
2001-01-31,1.6103,1.6585,1.6015,1.6521
2001-02-28,1.628,1.6924,1.628,1.6744
2001-03-31,1.6584,1.744,1.6446,1.7417
2001-04-30,1.7446,1.7564,1.6864,1.7344
2001-05-31,1.7314,1.8,1.7174,1.7949
2001-06-30,1.7967,1.8062,1.76,1.7928
2001-07-31,1.7921,1.8234,1.7114,1.726
2001-08-31,1.7246,1.7255,1.6449,1.6633
2001-09-30,1.6691,1.7117,1.5695,1.6228
2001-10-31,1.6248,1.6684,1.6012,1.6354
2001-11-30,1.6364,1.6763,1.6157,1.6427
2001-12-31,1.6414,1.6965,1.626,1.6614
2002-01-31,1.6645,1.7211,1.6367,1.721
2002-02-28,1.7208,1.7227,1.6789,1.697
2002-03-31,1.7008,1.7134,1.6502,1.6833
2002-04-30,1.682,1.6821,1.6168,1.6183
2002-05-31,1.6183,1.6207,1.5559,1.5704
2002-06-30,1.5704,1.5778,1.474,1.4814
2002-07-31,1.4818,1.5084,1.4374,1.4865
2002-08-31,1.4857,1.5248,1.4634,1.4977
2002-09-30,1.5,1.5312,1.4627,1.4767
